INTERNAL	#content	Skip to Main Content
INTERNAL	https://cfmadvocates.com/about/	About
INTERNAL	https://cfmadvocates.com/30-years-and-counting/	30 Years and Counting
INTERNAL	https://cfmadvocates.com/team/	The CFM Team
INTERNAL	https://cfmadvocates.com/state-affairs/	State Affairs
INTERNAL	https://cfmadvocates.com/federal-affairs/	Federal Affairs
INTERNAL	https://cfmadvocates.com/public-affairs/	Public Affairs
INTERNAL	https://cfmadvocates.com/case-studies/	Case Studies
INTERNAL	https://cfmadvocates.com/get-in-touch/	Get In Touch
INTERNAL	https://cfmadvocates.com	
INTERNAL	https://cfmadvocates.com/get-in-touch/	Get In Touch
INTERNAL	https://cfmadvocates.com/about/	About
INTERNAL	https://cfmadvocates.com/team/	The CFM Team
INTERNAL	https://cfmadvocates.com/30-years-and-counting/	30 Years and Counting
INTERNAL	https://cfmadvocates.com/news/	CFM Insider
INTERNAL	https://cfmadvocates.com/state-affairs/	State Affairs
INTERNAL	https://cfmadvocates.com/federal-affairs/	Federal Affairs
INTERNAL	https://cfmadvocates.com/public-affairs/	Public Affairs
INTERNAL	https://cfmadvocates.com/case-studies/	Case Studies
INTERNAL	https://cfmadvocates.com	
INTERNAL	https://cfmadvocates.com/about/	About
INTERNAL	https://cfmadvocates.com/team/	The CFM Team
INTERNAL	https://cfmadvocates.com/30-years-and-counting/	30 Years and Counting
INTERNAL	https://cfmadvocates.com/news/	CFM Insider
INTERNAL	https://cfmadvocates.com/state-affairs/	State Affairs
INTERNAL	https://cfmadvocates.com/federal-affairs/	Federal Affairs
INTERNAL	https://cfmadvocates.com/public-affairs/	Public Affairs
INTERNAL	https://cfmadvocates.com/case-studies/	Case Studies
INTERNAL	https://cfmadvocates.com/amanda-delapena-joins-cfm/	
INTERNAL	https://cfmadvocates.com/amanda-delapena-joins-cfm/	Read More
INTERNAL	https://cfmadvocates.com/madelynn-sakay-joins-cfms-federal-affairs-team-to-help-advance-client-priorities/	
INTERNAL	https://cfmadvocates.com/madelynn-sakay-joins-cfms-federal-affairs-team-to-help-advance-client-priorities/	Read More
INTERNAL	https://cfmadvocates.com/former-senator-cantwell-aide-naseem-mehyar-joins-cfm-advocates-as-vice-president-of-federal-affairs/	
INTERNAL	https://cfmadvocates.com/former-senator-cantwell-aide-naseem-mehyar-joins-cfm-advocates-as-vice-president-of-federal-affairs/	Read More
EXTERNAL	https://www.linkedin.com/company/cfmadvocates/	
EXTERNAL	https://stellaractive.com	Stellaractive
INTERNAL	#	
INTERNAL	#	
EXTERNAL	https://www.linkedin.com/in/rubinjoel/	
EXTERNAL	mailto:joelr@cfmdc.com	
EXTERNAL	https://www.linkedin.com/in/dalepenn2/	
EXTERNAL	mailto:dalep@cfmpdx.com	
EXTERNAL	https://www.linkedin.com/in/kirby-j-garrett-41a72537/	
EXTERNAL	mailto:kirbyg@CFMDC.com	
EXTERNAL	https://www.linkedin.com/in/david-hodges-7552243/	
EXTERNAL	mailto:davidh@CFMPDX.com	
EXTERNAL	mailto:pages@cfmpdx.com	
